project_id,project_name,community,category,start_date,end_date,budget_usd,actual_spend_usd,beneficiaries_count,status,impact_score,completion_percentage,project_manager,implementing_partner,funding_source
NAD0001,Kenyasi No. 1 Health Clinic Development,Kenyasi No. 1,Healthcare,2022-08-19,2023-05-16,106181.02,33935.26,212,Cancelled,1.5,28.0,PM_08,Local NGO,NADeF Core
NAD0002,Gyedu Health Clinic Development,Gyedu,Healthcare,2007-12-14,2008-12-08,73399.18,81462.29,146,Completed,6.8,100.0,PM_02,NADeF Direct,NADeF Core
NAD0003,Yamfo Market Development,Yamfo,Economic Development,2017-05-02,2017-07-31,76645.81,87450.79,76,Completed,7.5,100.0,PM_18,Local NGO,Partnership Fund
NAD0004,Susuanso Women's Cooperative Program,Susuanso,Women Empowerment,2010-12-11,2011-09-07,18493.56,16737.07,10,Completed,7.9,100.0,PM_19,Government Partnership,NADeF Core
NAD0005,Susuanso Road/Bridge Construction,Susuanso,Infrastructure,2013-08-19,2015-02-10,245545.84,230167.0,1227,Completed,8.8,100.0,PM_05,Local NGO,Special Projects Fund
NAD0006,Kenyasi No. 2 Health Clinic Development,Kenyasi No. 2,Healthcare,2014-07-10,2014-11-07,70924.08,68080.63,141,Completed,8.4,100.0,PM_12,Government Partnership,Partnership Fund
NAD0007,Kenyasi No. 1 Agricultural Training Program,Kenyasi No. 1,Agriculture,2022-05-14,2023-02-08,62110.56,62375.79,46,Completed,8.8,100.0,PM_18,NADeF Direct,Special Projects Fund
NAD0008,Gyedu Health Clinic Development,Gyedu,Healthcare,2012-07-29,2013-04-25,56967.56,51336.73,113,Completed,7.2,100.0,PM_19,Local NGO,Partnership Fund
NAD0009,Kenyasi No. 1 Health Clinic Development,Kenyasi No. 1,Healthcare,2020-10-31,2021-04-29,192332.83,65877.69,384,Cancelled,1.3,19.1,PM_25,Government Partnership,NADeF Core
NAD0010,Kenyasi No. 2 Market Development,Kenyasi No. 2,Economic Development,2014-07-11,2015-04-07,74738.64,66264.14,74,Completed,6.5,100.0,PM_15,Government Partnership,NADeF Core
NAD0011,Wamahinso Water System Installation,Wamahinso,Water & Sanitation,2010-09-13,2011-05-11,44814.39,41571.35,134,Completed,9.0,100.0,PM_23,NADeF Direct,Partnership Fund
NAD0012,Gyedu Road/Bridge Construction,Gyedu,Infrastructure,2022-05-10,2023-05-05,176306.1,178776.69,881,Completed,7.6,100.0,PM_06,International NGO,Special Projects Fund
